,no,store,sido_gungu,store_address,store_phone
23,001-002,암사1호,서울 강동구,서울 강동구 암사동 504-37,02 -426-8533
24,001-002,암사2호,서울 강동구,서울 강동구 암사동 451-18,02 -427-9982
25,001-002,천호1호,서울 강동구,서울 강동구 천호동 571,02 -470-9908
26,001-003,덕성여대,서울 강북구,서울 강북구 우이동 72-133,02 -900-3123
27,001-003,미아1호,서울 강북구,서울 강북구 미아동 561-2 현대성우아파트 상가 104호,02 -987-9280
28,001-003,미아사거리,서울 강북구,서울 강북구 미아동 55-5,02 -984-3434
29,001-003,미아역,서울 강북구,서울 강북구 미아동 131-8,02 -989-6288
30,001-003,번동,서울 강북구,서울 강북구 번동 169-1,02 -981-0991
31,001-003,수유1호,서울 강북구,서울 강북구 수유동 385-2,02 -994-8911~2
32,001-003,수유2호,서울 강북구,서울 강북구 수유동 57-2,02 -985-1991
33,001-003,수유역점,서울 강북구,서울 강북구 번동 461-127,02 -903-3693
34,001-004,가양,서울 강서구,서울 강서구 등촌동 75-1,02 -3665-3433
35,001-004,강서구청,서울 강서구,서울 강서구 화곡동 986-16,02 -2699-3999
36,001-004,까치산역,서울 강서구,서울 강서구 화곡동 343-62 라인씨티 1층,02 -2602-1991
37,001-004,등촌,서울 강서구,서울 강서구 등촌동 649-14,02 -2647-2328
38,001-004,마곡1호,서울 강서구,서울 강서구 강서로 마곡동 784-11 마곡오드카운티1차 111호,02 -3662-5556
39,001-004,마곡역,서울 강서구,서울 강서구 마곡동 774-1,02 -3664-1991
40,001-004,발산,서울 강서구,서울 강서구 내발산동 648-15,02 -2663-6077
41,001-004,방화1호,서울 강서구,서울 강서구 방화동 571-1,02 -2661-1990
42,001-004,방화2호,서울 강서구,서울 강서구 방화동 249-20,02 -2666-9559
43,001-004,염창,서울 강서구,서울 강서구 염창동 249-5,02 -3662-9238
44,001-004,화곡2호,서울 강서구,서울 강서구 화곡동 400-45,02 -2692-9279
45,001-004,화곡4동,서울 강서구,서울 강서구 곰달래로 266,02 -2648-1855
46,001-005,봉천1호,서울 관악구,서울 관악구 봉천동 861-7,02 -882-2999
47,001-005,봉천2호,서울 관악구,서울 관악구 봉천동 1674-20,02 -882-1107
48,001-005,봉천3호,서울 관악구,서울 관악구 봉천동 1632-9,"02 -888-2366,887-3998"
49,001-005,봉천4호,서울 관악구,서울 관악구 봉천동 931-12,02 -884-9991
50,001-005,신림1호,서울 관악구,서울 관악구 신림동 518-56,02 -867-1192
51,001-005,신림2호,서울 관악구,서울 관악구 신림동 1680-15,"02 -857-9992,857-9799"
52,001-005,신림3호,서울 관악구,서울 관악구 신림동 241-66,02 -877-3688
53,001-005,신림4호,서울 관악구,서울 관악구 신림동 706-6,02 -851-0708
54,001-006,건대,서울 광진구,서울 광진구 화양동 9-18,02 -462-1991
55,001-006,광장,서울 광진구,서울 광진구 광장동 530-13,02 -453-9292
56,001-006,구의역,서울 광진구,서울 광진구 구의동 257-70,02 -453-9995
57,001-006,자양1호,서울 광진구,서울 광진구 자양3동 584-28,02 -452-8593~4
58,001-006,자양2호,서울 광진구,서울 광진구 자양동 624-42,02 -458-1991
59,001-006,중곡1호,서울 광진구,서울 광진구 중곡동 243-1,02 -446-9908
60,001-006,중곡2호,서울 광진구,서울 광진구 중곡동 24-2,02 -453-9288
61,001-007,개봉1호,서울 구로구,서울 구로구 개봉동 403-159,02 -2066-9244~5
62,001-007,고척1호,서울 구로구,서울 구로구 개봉1동 126-4,02 -2060-4940
63,001-007,구로2호,서울 구로구,서울 구로구 구로동 74-30,02 -854-1004
64,001-007,구로디지털,서울 구로구,서울 구로구 구로동 826-1,02 -856-5542
65,001-007,남구로,서울 구로구,서울 구로구 구로동 704-38,02 -837-1999
66,001-007,동양미래대학,서울 구로구,서울 구로구 고척동 343,02 -2060-1991
67,001-007,신도림1호,서울 구로구,서울 구로구 신도림동 648 신도림6차대림아파트 상가 902동 111호,02 -2675-9288
68,001-007,오류1호,서울 구로구,서울 구로구 오류1동 10-3,02 -2060-9277
69,001-007,천왕역,서울 구로구,서울 구로구 오류동 203-1 1층,02 -2616-1991
70,001-007,항동,서울특별시 구로구,서울특별시 구로구 연동로 233 102호,02 -2615-1990
71,001-008,가산디지털,서울 금천구,서울 금천구 가산동 371-6 가산비지니스센터 2층,02 -865-0865
72,001-008,독산1호,서울 금천구,서울 금천구 독산동 961-10,02 -868-8788
73,001-008,독산2동,서울 금천구,서울 금천구 독산동 1059-4,02 -805-1991
74,001-008,시흥1호,서울 금천구,서울 금천구 시흥2동 264-17,02 -806-9990 807-9990
75,001-008,시흥2호,서울 금천구,서울 금천구 시흥1동 905-5,02 -806-9911
76,001-009,공릉1호,서울 노원구,서울 노원구 공릉동 338-6,02 -974-3999
77,001-009,공릉2호,서울 노원구,서울 노원구 공릉동 461-1,02 -975-9991
78,001-009,공릉3호,서울 노원구,서울 노원구 공릉동 568-27,02 -973-3330
79,001-009,상계4단지,서울 노원구,서울 노원구 상계동 749-5,02 -937-4785
80,001-009,상계보람,서울 노원구,서울 노원구 상계동 456-70,02 -952-7123
81,001-009,상계역,서울 노원구,서울 노원구 중계동 137-39,02 -933-9829
82,001-009,석계역,서울 노원구,서울 노원구 월계1동 73-13,"02 -909-9229,5297"
83,001-009,수락산역,서울 노원구,서울 노원구 상계동 1118,02 -936-1212
84,001-009,인덕대,서울 노원구,서울 노원구 월계동 951 월계센트럴아이파크 상가동 101호,02 -908-1991
85,001-009,중계1호,서울 노원구,서울 노원구 중계1동 360-9,02 -933-9992
86,001-009,중계역,서울 노원구,서울 노원구 중계동 503,02 -978-9255
87,001-009,하계1호,서울 노원구,서울 노원구 하계1동 251 청구상가 201동 101호,02 -976-4882
88,001-010,도봉동,서울 도봉구,서울 도봉구 도봉2동 623-163,02 -956-8892
89,001-010,방학,서울 도봉구,서울 도봉구 방학동 659-32,02 -956-7005
90,001-010,쌍문1호,서울 도봉구,서울 도봉구 방학동 263-56,02 -955-7999
91,001-010,쌍문역,서울 도봉구,서울 도봉구 쌍문3동 88-127,"02 -905-9292,9294"
92,001-010,창3동,서울 도봉구,서울 도봉구 창동 568-2,02 -999-5222
93,001-010,창동,서울 도봉구,서울 도봉구 창동 296-37,"02 -905-8292,8290"
94,001-011,경희대,서울 동대문구,서울 동대문구 회기동 42-16,02 -963-5353
95,001-011,답십리1호,서울 동대문구,서울 동대문구 답십리동 53-50,02 -2214-7782
96,001-011,서울시립대,서울 동대문구,서울 동대문구 전농동 295-5,02 -2243-1560~1
97,001-011,신이문,서울 동대문구,서울 동대문구 이문동 255-222,02 -963-9998
98,001-011,안암,서울 동대문구,서울 동대문구 제기동 142-8,02 -923-3363
99,001-011,용두,서울 동대문구,서울 동대문구 왕산로28길 55,02 -967-1991
100,001-011,장안1호,서울 동대문구,서울 동대문구 전농동 1-171,02 -2216-0092
101,001-011,장안2호,서울 동대문구,서울 동대문구  장안동 375-3,02 -2249-9599
102,001-011,청량리역,서울 동대문구,서울 동대문구 청량리동 50-14,02 -957-0001~2
103,001-012,노량진,서울 동작구,서울 동작구 노량진동 37-1,"02 -816-8999,9959"
104,001-012,사당1호,서울 동작구,서울 동작구 사당3동 155-2 1F,02 -3477-9945~6
105,001-012,상도,서울 동작구,서울 동작구 상도동 535 상도2차 두산위브트레지움아파트 상가,02 -3280-1932
106,001-012,상도중앙,서울 동작구,서울 동작구 상도동 159-26,02 -815-8833
107,001-012,숭실대,서울 동작구,서울 동작구 상도동 489-9,02 -889-2299
108,001-012,신대방,서울 동작구,서울 동작구 신대방동 607-28,02 -846-9992
109,001-012,신대방삼거리,서울 동작구,서울 동작구 대방동 407-46,02 -823-1991
110,001-012,흑석1호,서울 동작구,서울 동작구 흑석동 180-6,02 -814-3377
111,001-013,도화(서울),서울 마포구,서울 마포구 도화동 55,02 -715-9987
112,001-013,망원2동,서울 마포구,서울 마포구 망원동 482-9,02 -3143-5575
113,001-013,상암,서울 마포구,서울 마포구 상암동 34-45,02 -309-2500
114,001-013,성산2동,서울 마포구,서울 마포구 성산동 592,02 -373-9909
115,001-013,신공덕,서울 마포구,서울 마포구 신공덕동 159(신공덕 래미안상가 1동109호),02 -703-9919
116,001-013,신수,서울 마포구,서울 마포구 신수동 451번지 세양청마루아파트 상가 101호,02 -704-6364
117,001-013,아현,서울 마포구,서울 마포구 아현동 774 마포래미안 푸르지오 101동 상가 114호,02 -363-9993
118,001-013,연남,서울 마포구,서울 마포구 연남동 369-20,02 -323-1997
119,001-013,용강(서울),서울 마포구,서울 마포구 대흥동 500-10,02 -711-9993
120,001-013,홍대,서울 마포구,서울 마포구 서교동 371-3,02 -338-1300
121,001-014,독립문,서울 서대문구,서울 서대문구 냉천동 226,02 -392-6668
122,001-014,명지대,서울 서대문구,서울 서대문구 남가좌동 344-7,02 -305-9996
123,001-014,북가좌1호,서울 서대문구,서울 서대문구 북가좌동 385-8,"02 -304-3003,3053"
124,001-014,북아현1호,서울 서대문구,서울 서대문구 북아현동 1006,02 -393-5393
125,001-014,신촌,서울 서대문구,서울 서대문구 창천동 41-14,02 -312-1991
126,001-014,연희1호(서울),서울 서대문구,서울 서대문구 연희3동 344-26,02 -334-7999
127,001-014,홍은1호,서울 서대문구,서울 서대문구 홍제동 279-52,02 -396-0111
128,001-014,홍은사거리,서울 서대문구,서울 서대문구 홍제동 326-20,02 -3216-9989
129,001-015,반포1호,서울 서초구,서울 서초구 반포동 94-7,"02 -533-9279,9179"
130,001-015,반포삼호가든,서울 서초구,서울 서초구 반포동 53-7,02 -591-9901
131,001-015,방배1호,서울 서초구,서울 서초구 방배동 769-9,02 -535-1991
132,001-015,방배2호,서울 서초구,서울 서초구 방배동 912-8,02 -523-9956
133,001-015,서초1호,서울 서초구,서울 서초구 서초동 1357-56,02 -581-9949
134,001-015,서초2호,서울 서초구,서울 서초구 서초동 1669-15,02 -588-9905
135,001-015,서초3호,서울 서초구,서울 서초구 서초동 1579-5,02 -582-9233
136,001-015,양재1호,서울 서초구,서울 서초구 양재동 327-2,02 -579-9245
137,001-015,우면,서울 서초구,서울 서초구 우면동 720,02 -577-9288
138,001-015,잠원1호,서울 서초구,서울 서초구 잠원동 15-4,02 -532-9992
139,001-016,금호역,서울 성동구,서울 성동구 금호동4가 1380,02 -2296-5992
140,001-016,성수1호,서울 성동구,서울 성동구 성수동2가 235-1,02 -464-9992
141,001-016,성수역,서울 성동구,서울 성동구 성수동2가 289-251,02 -497-1991
142,001-016,왕십리1호,서울 성동구,서울 성동구 하왕십리동 946-15,02 -2293-9985
143,001-016,왕십리도선,서울 성동구,서울 성동구 홍익동 131-1,02 -2292-1991
144,001-016,용답,서울 성동구,서울 성동구 용답동 60-18,02 -2215-1993
145,001-016,응봉,서울 성동구,서울 성동구 응봉동 100,02 -2299-9965
146,001-016,한양대,서울 성동구,서울 성동구 행당동 3-29,02 -2291-1992
147,001-017,길음뉴타운,서울 성북구,서울 성북구 길음동 1284-17,02 -909-1997
148,001-017,동덕여대,서울 성북구,서울 성북구 하월곡동 17-1,02 -913-8292
149,001-017,동소문,서울 성북구,서울 성북구 동선동5가 147-13,02 -953-9922
150,001-017,보문,서울 성북구,서울 성북구 보문동7가 99,02 -921-3292
151,001-017,석관장위,서울 성북구,서울 성북구 장위동 50-46,02 -918-9925
152,001-017,정릉1호,서울 성북구,서울 성북구 정릉동 285-11,"02 -909-3311,9282"
153,001-017,정릉중앙,서울 성북구,서울 성북구 정릉동 227-74,02 -999-1991
154,001-017,종암,서울 성북구,서울 성북구 종암동 3-544,02 -921-1112
155,001-017,한성대,서울 성북구,서울 성북구 동소문동3가 31,02 -928-7003
156,001-018,가락2호,서울 송파구,서울 송파구 가락동 75-7,"02 -448-9005,9045"
157,001-018,거여가락1호,서울 송파구,서울 송파구 가락동 180-9,02 -406-9282
158,001-018,마천1호,서울 송파구,서울 송파구 거여동 32-6,02 -404-9907~8
159,001-018,문정법조,서울 송파구,서울 송파구 문정동 620 송파푸르지오시티 B09호,02 -3012-1992
160,001-018,방이2호,서울 송파구,서울 송파구 방이동 69-4,02 -420-0495
161,001-018,방이역,서울 송파구,서울 송파구 오금동 41-23 성암빌딩 1층,"02 -418-9599,9569"
162,001-018,석촌,서울 송파구,서울 송파구 석촌동 163-1,02 -412-0799
163,001-018,송파1호,서울 송파구,서울 송파구 송파동 147,02 -418-8892
164,001-018,올림픽공원,서울 송파구,서울 송파구 풍납동 401-4,02 -478-5844~5
165,001-018,위례송파,서울 송파구,서울 송파구 장지동 897,02 -2043-1991
166,001-018,잠실1호,서울 송파구,서울 송파구 잠실동 177-3,02 -416-9939
167,001-018,잠실2호,서울 송파구,서울 송파구 신천동 7,02 -417-9225
168,001-018,장지,서울 송파구,서울 송파구 문정동 102-1,"02 -403-9225,9222"
169,001-018,헬리오시티,서울 송파구,서울 송파구 가락동 913 헬리오시티 상가 3A동 01호,02 -406-1991
170,001-019,목3동,서울 양천구,서울 양천구 목동 722-8 호성빌딩,02 -2655-0027
171,001-019,목동2호,서울 양천구,서울 양천구 목동 909-8 이화프라자 1층 101호,"02 -2643-9339,2643-9329"
172,001-019,목동오거리,서울 양천구,서울 양천구 목동 940 현대아이파크상가 102,02 -2647-0092
173,001-019,목동파크자이,서울 양천구,서울 양천구 신정동 171-68,02 -2039-0447
174,001-019,신월1호,서울 양천구,서울 양천구 신월동 602-8,02 -2606-1992
175,001-019,신월2호,서울 양천구,서울 양천구 신월7동 972-6,02 -2697-7272
176,001-019,신월사거리,서울 양천구,서울 양천구 신월동 166-5,02 -2601-9992
177,001-019,신정1호,서울 양천구,서울 양천구 신정동 1022-5,02 -2649-9282
178,001-019,신트리,서울 양천구,서울 양천구 신정동 1267 목동뉴프라자,02 -2605-7892
179,001-019,오목교,서울 양천구,서울 양천구 신정동 1296 아이파크 상가 1층,02 -2654-0833
180,001-019,화곡1호,서울 양천구,서울 양천구 신월동 23-17,02 -2606-9961~2
181,001-020,당산,서울 영등포구,서울 영등포구 영등포동8가 35-1,02 -2672-9995
182,001-020,대림2호,서울 영등포구,서울 영등포구 대림동 783-1,02 -847-9939
183,001-020,문래,서울 영등포구,서울 영등포구 문래동3가 77-34,02 -2672-7676
184,001-020,선유도역,서울 영등포구,서울 영등포구 양평동4가 147-3,02 -2069-1991
185,001-020,신길1호,서울 영등포구,서울 영등포구 신길동 296-14,02 -833-6016
186,001-020,신길2호,서울 영등포구,서울 영등포구 신길7동 674,02 -849-0033
187,001-020,신풍역,서울 영등포구,서울 영등포구 신길동 445-2,02 -835-1223
188,001-020,여의도,서울 영등포구,서울 영등포구 여의도동 44-31,02 -769-1555
189,001-020,영등포1호,서울 영등포구,서울 영등포구 신길동 232-42,02 -841-7282
190,001-020,영등포역,서울 영등포구,서울 영등포구 영등포동3가 21-10,02 -2632-1992
191,001-021,동부이촌,서울 용산구,서울 용산구 이촌1동 301-153 오성상가 103,02 -795-4747
192,001-021,보광,서울 용산구,서울 용산구 보광동 217-13,02 -3785-1991
193,001-021,숙대,서울 용산구,서울 용산구 청파동2가 90-11,02 -707-2577
194,001-021,신용산역,서울 용산구,서울 용산구 한강로2가 122-5,02 -792-8722
195,001-021,용문,서울 용산구,서울 용산구 용문동 28-26,02 -702-2858
196,001-021,후암,서울 용산구,서울 용산구 후암동 244-59,02 -757-3535
197,001-022,구산역,서울 은평구,서울 은평구 갈현동 464-14,02 -352-9949
198,001-022,녹번,서울 은평구,서울 은평구 녹번동 82-47,02 -359-9200
199,001-022,대조,서울특별시 은평구,서울특별시 은평구 대조동 231,02 -355-6173~4
200,001-022,불광1동,서울 은평구,서울 은평구 불광동 554-1 라비앙프라자1층 101호,02 -354-8592
201,001-022,신사1동,서울 은평구,서울 은평구 신사동 29-13,02 -375-8295
202,001-022,역촌1호,서울 은평구,서울 은평구 역촌동 55-1,02 -356-4326~7
203,001-022,연신내,서울 은평구,서울 은평구 불광동 484-72,02 -382-1990
204,001-022,은평뉴타운,서울 은평구,서울 은평구 진관동 22 은평뉴타운상가 914-103호,02 -359-9288
205,001-022,응암1동,서울 은평구,서울 은평구 응암동 236-33,02 -389-9327
206,001-022,응암오거리,서울 은평구,서울 은평구 응암동 595-51,02 -303-6882
207,001-022,증산(서울),서울 은평구,서울 은평구 증산동 209-18,02 -376-9999
208,001-023,대학로,서울 종로구,서울 종로구 명륜동4가 113-1,02 -3672-9292
209,001-023,숭인,서울 종로구,서울 종로구 숭인2동 183-13,02 -765-5800
210,001-023,안국,서울 종로구,서울 종로구 화동 138-7,02 -734-9992
211,001-023,종로1호,서울 종로구,서울 종로구 관철동 13-13,02 -737-9292
212,001-023,평창,서울 종로구,서울 종로구 평창동 158-1,02 -396-7942
213,001-024,동대문1호,서울 중구,서울 중구 창신동 464-6,02 -2231-9337
214,001-024,서울시청,서울 중구,서울 중구 태평로2가 55,02 -318-1992
215,001-024,신당1호,서울 중구,서울 중구 신당동 846,02 -2237-9952~3
216,001-024,약수,서울 중구,서울 중구 신당동 374-14,02 -2233-9917
217,001-025,망우본동,서울 중랑구,서울 중랑구 망우동 251-2,02 -433-1993
218,001-025,면목1호,서울 중랑구,서울 중랑구 면목동 103-6,02 -494-9962~3
219,001-025,면목2호,서울 중랑구,서울 중랑구 면목2동 191-126,"02 -494-6282,496-6282"
220,001-025,묵동,서울 중랑구,서울 중랑구 묵동 175-2,02 -948-1992
221,001-025,사가정역,서울 중랑구,서울 중랑구 면목동 496-14,02 -2207-6543
222,001-025,상봉1호,서울 중랑구,서울 중랑구 상봉동 91-1,"02 -491-9738, 9"
223,001-025,신내1호,서울 중랑구,서울 중랑구 신내동 797,02 -2209-9980
224,001-025,중화,서울 중랑구,서울 중랑구 중화동 304-34,02 -433-1992
225,002-001,국제신도시,부산 강서구,부산 강서구 명지동 3412-6,051-291-9993
226,002-001,명지법원네오,부산 강서구,부산 강서구 명지동 3432-1 2동 102호,051-201-1991
227,002-001,명지신도시,부산 강서구,부산 강서구 명지동 3256-5,051-271-7725
228,002-001,신호,부산 강서구,부산 강서구 신호동 317-15,051-941-9207
229,002-001,지사,부산 강서구,부산 강서구 지사동 1191-5,051-831-6880
230,002-002,구서1호,부산 금정구,부산 금정구 구서2동 1024-1,051-516-8600
231,002-002,구서역,부산 금정구,부산 금정구 구서동 457-23,051-583-2661
232,002-002,남산1호,부산 금정구,부산 금정구 남산동 99-6,"051-581-9968,9264"
233,002-002,부곡1호,부산 금정구,부산 금정구 부곡동 23-15,051-517-3009
234,002-002,부곡2호,부산 금정구,부산 금정구 부곡1동 324-20,051-516-0111
235,002-002,부산대,부산 금정구,부산 금정구 금강로 장전동 418-13,051-582-8588
236,002-002,서동1호,부산 금정구,부산 금정구 서동 210-6,051-526-8292
237,002-002,장전1호,부산 금정구,부산 금정구 장전동 134-19,051-514-8200
238,002-003,기장,부산 기장군,부산 기장군 기장읍 동부리 134-2,051-722-9945
239,002-003,일광신도시,부산 기장군,부산 기장군 일광면 삼성리 833-4,051-721-9400
240,002-003,정관1호,부산 기장군,부산 기장군 정관읍 매학리 751-1,051-728-9233
241,002-003,정관2호,부산 기장군,부산 기장군 모전리 747-7,051-728-5399
242,002-004,대연1호,부산 남구,부산 남구 대연동 1013-8,051-639-9292
243,002-004,대연2호,부산 남구,부산 남구 대연동 52-7,051-621-4800
244,002-004,대연3호,부산 남구,부산 남구 대연동 1161-9,051-622-1991
245,002-004,메트로시티1호,부산 남구,부산 남구 용호동 176-30,051-625-8900
246,002-004,못골,부산 남구,부산 남구 대연동 1543-33,051-637-7733
247,002-004,문현1호,부산 남구,부산 남구 문현동 359-5,051-634-8292
248,002-004,문현2호,부산 남구,부산 남구 문현1동 127-56,051-646-5592
249,002-004,용호1호,부산 남구,부산 남구 용호동 555-19,051-626-3999
250,002-004,용호2호,부산 남구,부산 남구 동명로 126,051-715-7542
251,002-004,용호2호,부산 남구,부산 남구 용호동 396-1,051-715-7542
252,002-005,범일1호,부산 동구,부산 동구 범일동 833-2,051-642-8558
253,002-005,수정1호,부산 동구,부산 동구 수정동 844-25,051-469-8880
254,002-005,초량,부산 동구,부산 동구 초량동 132-1,051-441-9994
255,002-006,명륜(부산),부산 동래구,부산 동래구 명륜1동 673-9,051-555-9224
256,002-006,명장1호,부산 동래구,부산 동래구 명장동 26-24번지 국제아파트 상가 106호,"051-525-9233,9345"
257,002-006,복천,부산 동래구,부산 동래구 복천동 476-1,"051-555-8592,556-8592"
258,002-006,사직1호(부산),부산 동래구,부산 동래구 사직동 137-26,051-505-9289
259,002-006,사직2호,부산 동래구,부산 동래구 사직동 89-16,051-501-9995
260,002-006,수안,부산 동래구,부산 동래구 수안동 192-4,051-557-1990
261,002-006,안락2호,부산 동래구,부산 동래구 안락동 670-13,051-526-7171
262,002-006,온천1호,부산 동래구,부산 동래구 온천동 210-46,"051-555-2016,2017"
263,002-006,온천2호,부산 동래구,부산 동래구 온천동 1411-47,051-506-4949
264,002-007,가야,부산 부산진구,부산 부산진구 가야동 478,051-894-9909
265,002-007,개금1호,부산 부산진구,부산 부산진구 개금동 2-1,"051-894-6071,6072"
266,002-007,개금역,부산 부산진구,부산 부산진구 개금동 523-17,051-894-8292
267,002-007,당감,부산 부산진구,부산 부산진구 당감동 367-2,"051-891-9979,9980"
268,002-007,범천,부산 부산진구,부산 부산진구 범천동 1278-11,051-637-9982
269,002-007,부암1호,부산 부산진구,부산 부산진구 부암동 301-33,051-808-6060
270,002-007,서면,부산 부산진구,부산 부산진구 부전동 266-24,051-808-9981
271,002-007,양정,부산 부산진구,부산 부산진구 양정동 310-6,051-853-5458
272,002-007,연지,부산 부산진구,부산 부산진구 연지동 40-12,051-807-7701~2
273,002-007,전포1호,부산 부산진구,부산 부산진구 전포동 337-20,051-808-5592
274,002-007,초읍대공원,부산 부산진구,부산 부산진구 초읍동 288-6,"051-807-3492,3498"
275,002-008,구포1호,부산 북구,부산 북구 구포3동 1228-1,"051-363-9992,5793"
276,002-008,구포2호,부산 북구,부산 북구 구포동 932-35,051-341-1992
277,002-008,금곡(부산),부산 북구,부산 북구 금곡동 57-6,051-365-1991
278,002-008,덕천2호,부산 북구,부산 북구 덕천3동 781-2,"051-331-3179,343-3171"
279,002-008,덕천역,부산 북구,부산 북구 덕천동 402-12,051-336-1991
280,002-008,만덕1호,부산 북구,부산 북구 만덕동 294,051-341-7771
281,002-008,만덕2호,부산 북구,부산 북구 만덕3동 915-6,051-337-4300
282,002-008,화명1호,부산 북구,부산 북구 화명동 749,051-338-9933
283,002-008,화명3호,부산 북구,부산 북구 화명동 182-5(2층),051-362-7770
284,002-008,화명신도시,부산 북구,부산 북구 화명동 2266-1,051-342-9282
285,002-009,괘법,부산 사상구,부산 사상구 괘법동 516-1,051-325-0090
286,002-009,덕포,부산 사상구,부산 사상구 덕포동 767-10,051-303-5592
287,002-009,동서대,부산 사상구,부산 사상구 주례동 55-176,051-325-2827
288,002-009,모라,부산 사상구,부산 사상구 모라동 1349-4,051-322-9998
289,002-009,신주례,부산 사상구,부산 사상구 주례2동 3-17,"051-315-9977,324-2626"
290,002-009,엄궁,부산 사상구,부산 사상구 엄궁동 40-94,"051-311-7599,7598"
291,002-009,학장,부산 사상구,부산 사상구 학장동 산149-16,051-313-9925
292,002-010,괴정1호,부산 사하구,부산 사하구 괴정동 487-24,051-202-9951
293,002-010,다대1호,부산 사하구,부산 사하구 다대동 926-7,051-265-4446
294,002-010,다대2호,부산 사하구,부산 사하구 다대동 1014,051-266-8806
295,002-010,당리괴정2호,부산 사하구,부산 사하구 괴정동 577-42,051-207-9242
296,002-010,신평1호,부산 사하구,부산 사하구 신평동 262-20,051-294-8853~4
297,002-010,장림,부산 사하구,부산 사하구 장림동 590,051-266-1182
298,002-010,하단1호,부산 사하구,부산 사하구 하단2동 506-15,051-202-4780~1
299,002-010,하단2호,부산 사하구,부산 사하구 하단동 605-42,051-292-8592
300,002-011,국제신도시,부산 강서구,부산 강서구 명지동 3412-6,051-291-9993
301,002-011,남부민,부산 서구,부산 서구 충무동2가 3-1,051-247-9282
302,002-011,대신,부산 서구,부산 서구 서대신동1가 163-1,051-231-9992~3
303,002-011,명지법원네오,부산 강서구,부산 강서구 명지동 3432-1 2동 102호,051-201-1991
304,002-011,명지신도시,부산 강서구,부산 강서구 명지동 3256-5,051-271-7725
305,002-011,송도감천,부산 서구,"부산 서구 암남동 64-2 상가동 108호,109호(암남동)",051-231-9292
306,002-011,신호,부산 강서구,부산 강서구 신호동 317-15,051-941-9207
307,002-011,아미부민,부산 서구,부산 서구 부민동1가 11-3,051-242-3651
308,002-011,지사,부산 강서구,부산 강서구 지사동 1191-5,051-831-6880
309,002-012,광안1호,부산 수영구,부산 수영구 광안동 120-13,051-754-9210
310,002-012,광안2호,부산 수영구,부산 수영구 광안동 168-3,"051-754-2092,756-2092"
311,002-012,남천,부산 수영구,부산 수영구 남천동 17-12,051-611-9289
312,002-012,망미1호,부산 수영구,부산 수영구 망미동 413-11,051-759-9925
313,002-012,민락(부산),부산 수영구,부산 수영구 민락동 165-15,051-757-9294
314,002-012,수영,부산 수영구,부산 수영구 수영동 503-23,051-761-4992
315,002-013,거제법조,부산 연제구,부산 연제구 거제동 891-14,051-505-5511
316,002-013,시청(부산),부산 연제구,부산 연제구 거제3동 34-19,051-851-9945
317,002-013,연산1호,부산 연제구,부산 연제구 연산동 479-9,051-757-3532
318,002-013,연산2호,부산 연제구,부산 연제구 연산4동 578-1 삼익아파트 상가 101호,051-853-9980~1
319,002-013,연산3호,부산 연제구,부산 연제구 연산동 2133-48,051-851-7211~2
320,002-014,대교남항,부산 영도구,부산 영도구 남항동1가 82,051-417-9999
321,002-014,동삼,부산 영도구,부산 영도구 동삼동 219-146,051-405-9995
